fact_id,category,claim_or_field,source_value,report_or_app_value,verdict,source,note
STATUS-001,설치 현황,전국 10개 교대 중 설치 7개교,7,7,PASS,src/data_loader.py GRADUATE_SCHOOL_STATUS,
STATUS-002,설치 현황,설치 비율 70.0%,70,70,PASS,src/data_loader.py GRADUATE_SCHOOL_STATUS,
STATUS-003,설치 현황,미설치 대학 3개교,3,3,PASS,src/data_loader.py GRADUATE_SCHOOL_STATUS,
MAJOR-STATIC-경인교대,전공 구성,경인교대 정적 박사전공수,13,13,PASS,src/data_loader.py MAJORS_DATA vs GRADUATE_SCHOOL_STATUS,
MAJOR-STATIC-서울교대,전공 구성,서울교대 정적 박사전공수,14,14,PASS,src/data_loader.py MAJORS_DATA vs GRADUATE_SCHOOL_STATUS,
MAJOR-STATIC-대구교대,전공 구성,대구교대 정적 박사전공수,8,8,PASS,src/data_loader.py MAJORS_DATA vs GRADUATE_SCHOOL_STATUS,
MAJOR-STATIC-광주교대,전공 구성,광주교대 정적 박사전공수,8,8,PASS,src/data_loader.py MAJORS_DATA vs GRADUATE_SCHOOL_STATUS,
MAJOR-STATIC-청주교대,전공 구성,청주교대 정적 박사전공수,10,10,PASS,src/data_loader.py MAJORS_DATA vs GRADUATE_SCHOOL_STATUS,
MAJOR-STATIC-진주교대,전공 구성,진주교대 정적 박사전공수,8,8,PASS,src/data_loader.py MAJORS_DATA vs GRADUATE_SCHOOL_STATUS,
MAJOR-STATIC-공주교대,전공 구성,공주교대 정적 박사전공수,7,7,PASS,src/data_loader.py MAJORS_DATA vs GRADUATE_SCHOOL_STATUS,
ENROLL-공주교대-25,충원율,공주교대 25학년도 충원,30,30,PASS,전국 교대 교육전문대학원 신입생 충원 현황.xlsx,
ENROLL-공주교대-26,충원율,공주교대 26학년도 충원,30,30,PASS,전국 교대 교육전문대학원 신입생 충원 현황.xlsx,
ENROLL-공주교대-RATE25,충원율,공주교대 25학년도 충원율,100,100,PASS,전국 교대 교육전문대학원 신입생 충원 현황.xlsx,
ENROLL-공주교대-RATE26,충원율,공주교대 26학년도 충원율,100,100,PASS,전국 교대 교육전문대학원 신입생 충원 현황.xlsx,
ENROLL-공주교대-TOTAL,충원율,공주교대 충원누계,60,60,PASS,전국 교대 교육전문대학원 신입생 충원 현황.xlsx,
ENROLL-광주교대-25,충원율,광주교대 25학년도 충원,32,32,PASS,전국 교대 교육전문대학원 신입생 충원 현황.xlsx,
ENROLL-광주교대-26,충원율,광주교대 26학년도 충원,24,24,PASS,전국 교대 교육전문대학원 신입생 충원 현황.xlsx,
ENROLL-광주교대-RATE25,충원율,광주교대 25학년도 충원율,100,100,PASS,전국 교대 교육전문대학원 신입생 충원 현황.xlsx,
ENROLL-광주교대-RATE26,충원율,광주교대 26학년도 충원율,75,75,PASS,전국 교대 교육전문대학원 신입생 충원 현황.xlsx,
ENROLL-광주교대-TOTAL,충원율,광주교대 충원누계,56,56,PASS,전국 교대 교육전문대학원 신입생 충원 현황.xlsx,
ENROLL-대구교대-25,충원율,대구교대 25학년도 충원,37,37,PASS,전국 교대 교육전문대학원 신입생 충원 현황.xlsx,
ENROLL-대구교대-26,충원율,대구교대 26학년도 충원,29,29,PASS,전국 교대 교육전문대학원 신입생 충원 현황.xlsx,
ENROLL-대구교대-RATE25,충원율,대구교대 25학년도 충원율,123.3,123.3,PASS,전국 교대 교육전문대학원 신입생 충원 현황.xlsx,
ENROLL-대구교대-RATE26,충원율,대구교대 26학년도 충원율,69,69,PASS,전국 교대 교육전문대학원 신입생 충원 현황.xlsx,
ENROLL-대구교대-TOTAL,충원율,대구교대 충원누계,90,90,PASS,전국 교대 교육전문대학원 신입생 충원 현황.xlsx,
ENROLL-진주교대-25,충원율,진주교대 25학년도 충원,25,25,PASS,전국 교대 교육전문대학원 신입생 충원 현황.xlsx,
ENROLL-진주교대-26,충원율,진주교대 26학년도 충원,23,23,PASS,전국 교대 교육전문대학원 신입생 충원 현황.xlsx,
ENROLL-진주교대-RATE25,충원율,진주교대 25학년도 충원율,83.3,83.3,PASS,전국 교대 교육전문대학원 신입생 충원 현황.xlsx,
ENROLL-진주교대-RATE26,충원율,진주교대 26학년도 충원율,76.7,76.7,PASS,전국 교대 교육전문대학원 신입생 충원 현황.xlsx,
ENROLL-진주교대-TOTAL,충원율,진주교대 충원누계,48,48,PASS,전국 교대 교육전문대학원 신입생 충원 현황.xlsx,
ENROLL-청주교대-25,충원율,청주교대 25학년도 충원,32,32,PASS,전국 교대 교육전문대학원 신입생 충원 현황.xlsx,
ENROLL-청주교대-26,충원율,청주교대 26학년도 충원,22,22,PASS,전국 교대 교육전문대학원 신입생 충원 현황.xlsx,
ENROLL-청주교대-RATE25,충원율,청주교대 25학년도 충원율,97,97,PASS,전국 교대 교육전문대학원 신입생 충원 현황.xlsx,
ENROLL-청주교대-RATE26,충원율,청주교대 26학년도 충원율,66.7,66.7,PASS,전국 교대 교육전문대학원 신입생 충원 현황.xlsx,
ENROLL-청주교대-TOTAL,충원율,청주교대 충원누계,54,54,PASS,전국 교대 교육전문대학원 신입생 충원 현황.xlsx,
ENROLL-ROWS-대구교대,자료 간 불일치,대구교대 충원자료 전공행수와 정적 박사전공수,충원자료 11,정적자료 8,CHECK,전국 교대 교육전문대학원 신입생 충원 현황.xlsx; src/data_loader.py MAJORS_DATA,충원 현황 엑셀의 전공행 수를 공식 전공수로 표시하면 안 됨. Streamlit에서는 '충원자료 전공행수'로 라벨을 낮춤.
ENROLL-ROWS-진주교대,자료 간 불일치,진주교대 충원자료 전공행수와 정적 박사전공수,충원자료 6,정적자료 8,CHECK,전국 교대 교육전문대학원 신입생 충원 현황.xlsx; src/data_loader.py MAJORS_DATA,충원 현황 엑셀의 전공행 수를 공식 전공수로 표시하면 안 됨. Streamlit에서는 '충원자료 전공행수'로 라벨을 낮춤.
JNUE-2021,전주교대 5년 추이,2021 전주교대 교육대학원 표 I-2/IV-5,"(170, 27, 71, 92, 71, 188, 37.8)","(170, 27, 71, 92, 71, 188, 37.8)",PASS,전국대학원 최근 5년간 현황.csv,
JNUE-2022,전주교대 5년 추이,2022 전주교대 교육대학원 표 I-2/IV-5,"(190, 32, 81, 77, 94, 188, 43.1)","(190, 32, 81, 77, 94, 188, 43.1)",PASS,전국대학원 최근 5년간 현황.csv,
JNUE-2023,전주교대 5년 추이,2023 전주교대 교육대학원 표 I-2/IV-5,"(166, 29, 57, 68, 67, 188, 30.3)","(166, 29, 57, 68, 67, 188, 30.3)",PASS,전국대학원 최근 5년간 현황.csv,
JNUE-2024,전주교대 5년 추이,2024 전주교대 교육대학원 표 I-2/IV-5,"(148, 21, 54, 147, 69, 188, 28.7)","(148, 21, 54, 147, 69, 188, 28.7)",PASS,전국대학원 최근 5년간 현황.csv,
JNUE-2025,전주교대 5년 추이,2025 전주교대 교육대학원 표 I-2/IV-5,"(119, 17, 54, 91, 70, 188, 28.7)","(119, 17, 54, 91, 70, 188, 28.7)",PASS,전국대학원 최근 5년간 현황.csv,
TREND-설치대학-START,설치/미설치 변화율,설치대학 2021 재학생 합계,5402,"5,402",PASS,전국대학원 최근 5년간 현황.csv,
TREND-설치대학-END,설치/미설치 변화율,설치대학 2025 재학생 합계,4930,"4,930",PASS,전국대학원 최근 5년간 현황.csv,
TREND-설치대학-RATE,설치/미설치 변화율,설치대학 2021→2025 재학생 변화율,-8.7,-8.7,PASS,전국대학원 최근 5년간 현황.csv,
TREND-미설치대학-START,설치/미설치 변화율,미설치대학 2021 재학생 합계,1433,"1,433",PASS,전국대학원 최근 5년간 현황.csv,
TREND-미설치대학-END,설치/미설치 변화율,미설치대학 2025 재학생 합계,1143,"1,143",PASS,전국대학원 최근 5년간 현황.csv,
TREND-미설치대학-RATE,설치/미설치 변화율,미설치대학 2021→2025 재학생 변화율,-20.2,-20.2,PASS,전국대학원 최근 5년간 현황.csv,
COUNSEL-001,전주교대 전공별 10년,학교상담/초등교육상담 2016~2025 입학 합계,109,109,PASS,전주교대 교육대학원 상담 및 특수 전공 최근 10년 현황.xlsx,
COUNSEL-002,전주교대 전공별 10년,초등특수교육 2016~2025 입학 합계,32,32,PASS,전주교대 교육대학원 상담 및 특수 전공 최근 10년 현황.xlsx,
KESS-JNUE-GRAD-STUDENT-S,KESS 교차검증,2025 상반기 전주교대 교육대학원 재학생,119,119,PASS,2025년 상반기 KESS,
KESS-JNUE-GRAD-STUDENT-H,KESS 교차검증,2025 하반기 전주교대 교육대학원 재학생,119,119,PASS,2025년 하반기 KESS,
KESS-JNUE-GRAD-PROF-S,KESS 교차검증,2025 상반기 전주교대 교육대학원 전임교원,0,0,PASS,2025년 상반기 KESS,
KESS-JNUE-GRAD-PROF-H,KESS 교차검증,2025 하반기 전주교대 교육대학원 전임교원,0,0,PASS,2025년 하반기 KESS,
POLICY-2026-STD,최신성,대학원 정원조정 및 설치 기준,교육부 2026학년도 세부기준 게시 확인,2026학년도 기준 적용 문구 반영,PASS,"교육부 2026학년도 대학원 정원조정 및 설치·운영 세부기준, 2025-09-19, https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=337&boardSeq=104124&lev=0&m=0303&opType=N&page=1&s=moe&searchType=null&statusYN=W",최종 신청서는 2026학년도 기준으로 작성해야 함을 본문에 명시함.
LAW-HIGHER-ED-001,법령,교육전문대학원 설치 및 대학원 종류 조항,고등교육법 제29조 및 제29조의2,고등교육법 제29조 및 제29조의2,PASS,"국가법령정보센터 고등교육법 제29조의2, https://www.law.go.kr/lsLinkCommonInfo.do?lsJoLnkSeq=1023623431",
DNUE-INSTALL-YEAR,자료 간 불일치,대구교대 설치연도,"공식 보도: 2024년 5월 승인, 2024학년도 2학기 운영 시작",2025학년도 모집·운영 기준으로 분리 표기,PASS,"대구교육대학교 DNUE뉴스 2024-05-03, https://www.dnue.ac.kr/kor/CMS/Board/Board.do?board_seq=14788&mCode=MN041&mgr_seq=278&mode=view&page=17; 전국 교대 교육전문대학원 신입생 충원 현황.xlsx",승인연도·운영개시학기와 2025학년도 모집 기준을 본문 표 주석에서 분리함.
